fecha,placa,código,mina,mpio,pesent,pessal,peso_bas,horaentra,horasal,humedad,cenizas,volatil,azufre,pcal,p_correg,f_b,t_mcal,cod_m,
22/06/2015,XVO740,446/469/01/10,COOPROCARBON SUGAMUXI LTDA SPO036-107,GAMEZA                   ,55780,17030,38750,03:19:35 p.m.,03:54:17 p.m.,5.74,18.94,32.94,1.54,5942.73,38546.18,0.99474,229069.54,34650985_,
09/06/2015,SUK095,447/470/01/1,COINCARBOY SPO036-109,CORRALES                 ,33010,12100,20910,07:43:53 a.m.,07:57:21 a.m.,5.44,15.02,37.01,1.26,6166.90,20967.29,1.00274,129303.18,51636679_,
09/06/2015,JIB554,447/470/01/2,COINCARBOY SPO036-109,CORRALES                 ,18600,7540,11060,10:19:19 a.m.,10:30:54 a.m.,5.44,15.02,37.01,1.26,6166.90,11090.30,1.00274,68392.77,51636679_,
09/06/2015,TFR001,447/470/01/3,COINCARBOY SPO036-109,CORRALES                 ,33080,12900,20180,01:42:03 p.m.,01:51:03 p.m.,5.44,15.02,37.01,1.26,6166.90,20235.29,1.00274,124789.01,51636679_,
09/06/2015,JIB554,447/470/01/4,COINCARBOY SPO036-109,CORRALES                 ,19580,7580,12000,03:38:11 p.m.,04:03:00 p.m.,5.44,15.02,37.01,1.26,6166.90,12032.88,1.00274,74205.57,51636679_,
10/06/2015,SUK095,447/470/01/5,COINCARBOY SPO036-109,CORRALES                 ,32850,12020,20830,07:33:27 a.m.,07:47:22 a.m.,5.44,15.02,37.01,1.26,6166.90,20887.07,1.00274,128808.47,51636679_,
10/06/2015,SNB620,447/470/01/6,COINCARBOY SPO036-109,CORRALES                 ,55010,17810,37200,10:12:35 a.m.,10:43:46 a.m.,5.44,15.02,37.01,1.26,6166.90,37301.93,1.00274,230037.27,51636679_,
10/06/2015,XGC694,447/470/01/7,COINCARBOY SPO036-109,CORRALES                 ,34020,11370,22650,10:31:29 a.m.,10:56:10 a.m.,5.44,15.02,37.01,1.26,6166.90,22712.06,1.00274,140063.00,51636679_,
10/06/2015,JIB554,447/470/01/8,COINCARBOY SPO036-109,CORRALES                 ,19010,7540,11470,01:13:21 p.m.,01:26:37 p.m.,5.44,15.02,37.01,1.26,6166.90,11501.43,1.00274,70928.17,51636679_,
10/06/2015,SUK095,447/470/01/9,COINCARBOY SPO036-109,CORRALES                 ,32700,11990,20710,02:20:10 p.m.,02:33:37 p.m.,5.44,15.02,37.01,1.26,6166.90,20766.75,1.00274,128066.47,51636679_,
10/06/2015,XGC694,447/470/01/10,COINCARBOY SPO036-109,CORRALES                 ,32370,11340,21030,03:24:20 p.m.,03:34:45 p.m.,5.44,15.02,37.01,1.26,6166.90,21087.62,1.00274,130045.24,51636679_,
11/06/2015,SUK095,447/470/01/11,COINCARBOY SPO036-109,CORRALES                 ,32830,11950,20880,07:27:23 a.m.,07:42:11 a.m.,5.44,15.02,37.01,1.26,6166.90,20937.21,1.00274,129117.68,51636679_,
11/06/2015,XGC694,447/470/01/12,COINCARBOY SPO036-109,CORRALES                 ,31990,11320,20670,08:12:46 a.m.,08:29:19 a.m.,5.44,15.02,37.01,1.26,6166.90,20726.64,1.00274,127819.12,51636679_,
11/06/2015,XGC694,447/470/01/13,COINCARBOY SPO036-109,CORRALES                 ,32120,11270,20850,03:37:12 p.m.,03:50:07 p.m.,5.44,15.02,37.01,1.26,6166.90,20907.13,1.00274,128932.18,51636679_,
12/06/2015,JIB554,447/470/01/14,COINCARBOY SPO036-109,CORRALES                 ,19370,7500,11870,01:27:35 p.m.,01:40:51 p.m.,5.44,15.02,37.01,1.26,6166.90,11902.52,1.00274,73401.65,51636679_,
12/06/2015,SUK095,447/470/01/15,COINCARBOY SPO036-109,CORRALES                 ,32610,12100,20510,01:30:04 p.m.,01:45:29 p.m.,5.44,15.02,37.01,1.26,6166.90,20566.20,1.00274,126829.70,51636679_,
16/06/2015,XGC694,447/470/01/16,COINCARBOY SPO036-109,CORRALES                 ,32240,11320,20920,08:41:06 a.m.,08:53:45 a.m.,5.44,15.02,37.01,1.26,6166.90,20977.32,1.00274,129365.03,51636679_,
16/06/2015,JIB554,447/470/01/17,COINCARBOY SPO036-109,CORRALES                 ,20100,7510,12590,11:35:20 a.m.,11:45:53 a.m.,5.44,15.02,37.01,1.26,6166.90,12624.50,1.00274,77854.03,51636679_,
16/06/2015,SNB620,447/470/01/18,COINCARBOY SPO036-109,CORRALES                 ,57410,17790,39620,01:13:03 p.m.,01:55:57 p.m.,5.44,15.02,37.01,1.26,6166.90,39728.56,1.00274,245002.06,51636679_,
16/06/2015,SUK095,447/470/01/19,COINCARBOY SPO036-109,CORRALES                 ,32180,11990,20190,03:06:48 p.m.,03:19:05 p.m.,5.44,15.02,37.01,1.26,6166.90,20245.32,1.00274,124850.86,51636679_,
17/06/2015,SUK095,447/470/01/20,COINCARBOY SPO036-109,CORRALES                 ,32410,11940,20470,09:21:21 a.m.,09:36:30 a.m.,5.44,15.02,37.01,1.26,6166.90,20526.09,1.00274,126582.34,51636679_,
17/06/2015,JIB554,447/470/01/21,COINCARBOY SPO036-109,CORRALES                 ,19980,7510,12470,10:03:27 a.m.,10:16:54 a.m.,5.44,15.02,37.01,1.26,6166.90,12504.17,1.00274,77111.97,51636679_,
17/06/2015,SUK095,447/470/01/22,COINCARBOY SPO036-109,CORRALES                 ,32400,11900,20500,01:38:31 p.m.,01:51:21 p.m.,5.44,15.02,37.01,1.26,6166.90,20556.17,1.00274,126767.84,51636679_,
09/06/2015,JGB128,448/471/01/1,COINCARBOY SPO036-109-TAS,TASCO                    ,20510,8150,12360,07:26:35 a.m.,07:39:40 a.m.,5.91,15.82,35.99,1.37,6086.40,12366.06,1.00049,75264.79,65217343_,
09/06/2015,XFA381,448/471/01/2,COINCARBOY SPO036-109-TAS,TASCO                    ,20580,8310,12270,07:27:33 a.m.,07:42:10 a.m.,5.91,15.82,35.99,1.37,6086.40,12276.01,1.00049,74716.71,65217343_,
09/06/2015,JGB128,448/471/01/3,COINCARBOY SPO036-109-TAS,TASCO                    ,20350,8230,12120,01:19:57 p.m.,01:30:32 p.m.,5.91,15.82,35.99,1.37,6086.40,12125.94,1.00049,73803.32,65217343_,
09/06/2015,XFA381,448/471/01/4,COINCARBOY SPO036-109-TAS,TASCO                    ,20530,8410,12120,01:22:37 p.m.,01:32:33 p.m.,5.91,15.82,35.99,1.37,6086.40,12125.94,1.00049,73803.32,65217343_,
10/06/2015,XJA421,448/471/01/5,COINCARBOY SPO036-109-TAS,TASCO                    ,56050,18130,37920,02:24:49 p.m.,02:37:35 p.m.,5.91,15.82,35.99,1.37,6086.40,37938.58,1.00049,230909.37,65217343_,
10/06/2015,SMK380,448/471/01/6,COINCARBOY SPO036-109-TAS,TASCO                    ,56900,18150,38750,02:27:21 p.m.,02:39:44 p.m.,5.91,15.82,35.99,1.37,6086.40,38768.99,1.00049,235963.58,65217343_,
10/06/2015,XJA591,448/471/01/7,COINCARBOY SPO036-109-TAS,TASCO                    ,54160,17760,36400,02:43:46 p.m.,02:55:31 p.m.,5.91,15.82,35.99,1.37,6086.40,36417.84,1.00049,221653.54,65217343_,
10/06/2015,SPV997,448/471/01/8,COINCARBOY SPO036-109-TAS,TASCO                    ,54170,19760,34410,02:48:45 p.m.,03:05:59 p.m.,5.91,15.82,35.99,1.37,6086.40,34426.86,1.00049,209535.64,65217343_,
